LotFrontage,LotArea,Street,OverallQual,YearBuilt,BsmtQual,TotalBsmtSF,CentralAir,GrLivArea,PoolArea,GarageArea
65.0,8450,Pave,7,2003,Gd,856,Y,1710,0,548
80.0,9600,Pave,6,1976,Gd,1262,Y,1262,0,460
68.0,11250,Pave,7,2001,Gd,920,Y,1786,0,608
60.0,9550,Pave,7,1915,TA,756,Y,1717,0,642
84.0,14260,Pave,8,2000,Gd,1145,Y,2198,0,836
85.0,14115,Pave,5,1993,Gd,796,Y,1362,0,480
75.0,10084,Pave,8,2004,Ex,1686,Y,1694,0,636
,10382,Pave,7,1973,Gd,1107,Y,2090,0,484
51.0,6120,Pave,7,1931,TA,952,Y,1774,0,468
50.0,7420,Pave,5,1939,TA,991,Y,1077,0,205
70.0,11200,Pave,5,1965,TA,1040,Y,1040,0,384
85.0,11924,Pave,9,2005,Ex,1175,Y,2324,0,736
,12968,Pave,5,1962,TA,912,Y,912,0,352
91.0,10652,Pave,7,2006,Gd,1494,Y,1494,0,840
,10920,Pave,6,1960,TA,1253,Y,1253,0,352
51.0,6120,Pave,7,1929,TA,832,Y,854,0,576
,11241,Pave,6,1970,TA,1004,Y,1004,0,480
72.0,10791,Pave,4,1967,,0,Y,1296,0,516
66.0,13695,Pave,5,2004,TA,1114,Y,1114,0,576
70.0,7560,Pave,5,1958,TA,1029,Y,1339,0,294
101.0,14215,Pave,8,2005,Ex,1158,Y,2376,0,853
57.0,7449,Pave,7,1930,TA,637,Y,1108,0,280
75.0,9742,Pave,8,2002,Gd,1777,Y,1795,0,534
44.0,4224,Pave,5,1976,Gd,1040,Y,1060,0,572
,8246,Pave,5,1968,TA,1060,Y,1060,0,270
110.0,14230,Pave,8,2007,Gd,1566,Y,1600,0,890
60.0,7200,Pave,5,1951,TA,900,Y,900,0,576
98.0,11478,Pave,8,2007,Ex,1704,Y,1704,0,772
47.0,16321,Pave,5,1957,TA,1484,Y,1600,0,319
60.0,6324,Pave,4,1927,TA,520,N,520,0,240
50.0,8500,Pave,4,1920,TA,649,N,1317,0,250
,8544,Pave,5,1966,TA,1228,Y,1228,0,271
85.0,11049,Pave,8,2007,Ex,1234,Y,1234,0,484
70.0,10552,Pave,5,1959,TA,1398,Y,1700,0,447
60.0,7313,Pave,9,2005,Ex,1561,Y,1561,0,556
108.0,13418,Pave,8,2004,Ex,1117,Y,2452,0,691
112.0,10859,Pave,5,1994,Gd,1097,Y,1097,0,672
74.0,8532,Pave,5,1954,TA,1297,Y,1297,0,498
68.0,7922,Pave,5,1953,TA,1057,Y,1057,0,246
65.0,6040,Pave,4,1955,,0,N,1152,0,0
