YearBuilt,YearCondition
1800,Very Old
1801,Very Old
1802,Very Old
1803,Very Old
1804,Very Old
1805,Very Old
1806,Very Old
1807,Very Old
1808,Very Old
1809,Very Old
1810,Very Old
1811,Very Old
1812,Very Old
1813,Very Old
1814,Very Old
1815,Very Old
1816,Very Old
1817,Very Old
1818,Very Old
1819,Very Old
1820,Very Old
1821,Very Old
1822,Very Old
1823,Very Old
1824,Very Old
1825,Very Old
1826,Very Old
1827,Very Old
1828,Very Old
1829,Very Old
1830,Very Old
1831,Very Old
1832,Very Old
1833,Very Old
1834,Very Old
1835,Very Old
1836,Very Old
1837,Very Old
1838,Very Old
1839,Very Old
1840,Very Old
1841,Very Old
1842,Very Old
1843,Very Old
1844,Very Old
1845,Very Old
1846,Very Old
1847,Very Old
1848,Very Old
1849,Very Old
1850,Very Old
1851,Very Old
1852,Very Old
1853,Very Old
1854,Very Old
1855,Very Old
1856,Very Old
1857,Very Old
1858,Very Old
1859,Very Old
1860,Very Old
1861,Very Old
1862,Very Old
1863,Very Old
1864,Very Old
1865,Very Old
1866,Very Old
1867,Very Old
1868,Very Old
1869,Very Old
1870,Very Old
1871,Very Old
1872,Very Old
1873,Very Old
1874,Very Old
1875,Very Old
1876,Very Old
1877,Very Old
1878,Very Old
1879,Very Old
1880,Very Old
1881,Very Old
1882,Very Old
1883,Very Old
1884,Very Old
1885,Very Old
1886,Very Old
1887,Very Old
1888,Very Old
1889,Very Old
1890,Very Old
1891,Very Old
1892,Very Old
1893,Very Old
1894,Very Old
1895,Very Old
1896,Very Old
1897,Very Old
1898,Very Old
1899,Very Old
1900,Very Old
1901,Very Old
1902,Very Old
1903,Very Old
1904,Very Old
1905,Very Old
1906,Very Old
1907,Very Old
1908,Very Old
1909,Very Old
1910,Very Old
1911,Very Old
1912,Very Old
1913,Very Old
1914,Very Old
1915,Very Old
1916,Very Old
1917,Very Old
1918,Very Old
1919,Very Old
1920,Very Old
1921,Very Old
1922,Very Old
1923,Very Old
1924,Very Old
1925,Very Old
1926,Very Old
1927,Very Old
1928,Very Old
1929,Very Old
1930,Very Old
1931,Very Old
1932,Very Old
1933,Very Old
1934,Very Old
1935,Very Old
1936,Very Old
1937,Very Old
1938,Very Old
1939,Very Old
1940,Very Old
1941,Very Old
1942,Very Old
1943,Very Old
1944,Very Old
1945,Very Old
1946,Very Old
1947,Very Old
1948,Very Old
1949,Very Old
1950,Old
1951,Old
1952,Old
1953,Old
1954,Old
1955,Old
1956,Old
1957,Old
1958,Old
1959,Old
1960,Old
1961,Old
1962,Old
1963,Old
1964,Old
1965,Old
1966,Old
1967,Old
1968,Old
1969,Old
1970,Old
1971,Old
1972,Old
1973,Old
1974,Old
1975,Old
1976,Old
1977,Old
1978,Old
1979,Old
1980,Old
1981,Old
1982,Old
1983,Old
1984,Old
1985,Old
1986,Old
1987,Old
1988,Old
1989,Old
1990,Old
1991,Old
1992,Old
1993,Old
1994,Old
1995,Old
1996,Old
1997,Old
1998,Old
1999,Old
2000,New
2001,New
2002,New
2003,New
2004,New
2005,New
2006,New
2007,New
2008,New
2009,New
2010,New
2011,New
2012,New
2013,New
2014,New
2015,New
2016,New
2017,New
2018,New
